id,name
70,Ischemic Heart Disease (इस्केमिक हृदय रोग)
71,Jaundice (पियाहा)
72,Kala-azar (काला आजार)
73,Kwashiorkor (क्वासियोर्कर)
74,Leptospirosis (लेप्टोस्पायरोसिस)
75,Leukemia (ब्लड क्यान्सर)
76,Liver Abscess (कलेजोको फोका)
77,Liver Cirrhosis (कलेजो सिरोसिस)
78,Lumbar Spondylosis (कम्मरको अस्थिसंधिशोथ)
79,Lung Cancer (फोक्सोको क्यान्सर)
80,Lymphoma (लिम्फोमा)
81,Macular Degeneration (म्याकुलर डिजेनरेशन)
82,Malaria (मलेरिया)
83,Malnutrition (कुपोषण)
84,Marasmus (मरास्मस)
85,Meningitis (मस्तिष्कको आवरण सुन्निने रोग)
86,Migraine (आधाशीशी)
87,Multiple Sclerosis (मल्टिपल स्केलेरोसिस)
88,Neonatal Jaundice (नयाँजातको पियाहा)
89,Neonatal Sepsis (नयाँजातको सेप्सिस)
90,Neuropathies (नसाका रोग)
91,Orbital Tumors (आँखाको गर्भको ट्युमर)
92,Osteoarthritis (अस्थिसंधिशोथ)
93,Osteoporosis (हड्डीको घनत्व घट्ने)
94,Pancreatitis (प्यान्क्रियाटाइटिस)
95,Parkinson's Disease (पार्किन्सन्स रोग)
96,Pediatric Blindness (बाल्यकालीन अन्धापन)
97,Peptic Ulcer Disease (पेप्टिक अल्सर)
98,Peripheral Vascular Disease (पेरिफेरल भास्कुलर रोग)
99,Pituitary Disorders (पिट्युटरी ग्रन्थिको रोग)
100,Pleural Effusion (फोक्सोमा पानी जम्ने)
101,Pneumonia (निमोनिया)
102,Polycystic Kidney Disease (पोलिसिस्टिक किडनी रोग)
103,Polycystic Ovary Syndrome (PCOS) (पोलिसिस्टिक ओभरी सिन्ड्रोम)
104,Polytrauma (बहु-चोट)
105,Post-Traumatic Stress Disorder (PTSD) (पोस्ट-ट्राउमाटिक स्ट्रेस डिसअर्डर)
106,Postpartum Complications (प्रसूतपछिका जटिलताहरू)
107,Postpartum Depression (प्रसूतपछि डिप्रेसन)
108,Preeclampsia (प्री-एक्लेम्पसिया)
109,Prematurity (अकाल जन्म)
110,Psychosis (साइकोसिस)
111,Refractive Errors (दृष्टि दोष)
112,Renal Colic (गुराँउको दुखाइ)
113,Retinal Detachment (रेटिना अलगिने)
114,Retinoblastoma (रेटिनोब्लास्टोमा)
115,Rheumatic Heart Disease (रुमेटिक हृदय रोग)
116,Rheumatoid Arthritis (रुमेटोइड आर्थराइटिस)
117,Rotavirus (रोटाभाइरस)
118,Scabies (खजुरी)
119,Schizophrenia (स्किजोफ्रेनिया)
120,Scrub Typhus (स्क्रब टाइफस)
121,Sepsis (सेप्सिस)
122,Sexually Transmitted Infections (STIs) (यौनसंचारित संक्रमण)
123,Sinusitis (साइनसाइटिस)
124,Skin Allergies (छालाको एलर्जी)
125,Skin Infections (छालाको संक्रमण)
126,Skin Rashes (छालामा ददुरा)
127,Snake Bites (सर्पदंश)
128,Soft Tissue Injuries (नरम ऊतकको चोट)
129,Solid Tumors (ठोस ट्युमर)
130,Spinal Cord Disorders (रीढको हड्डीका रोग)
131,Spine Disorders/Spinal Stenosis (रीढको हड्डीको रोग)
132,Sports Injuries (खेलकुद चोटपटक)
133,Stomach Cancer (पेटको क्यान्सर)
134,Stress-related issues (तनावसम्बन्धी समस्या)
135,Strabismus/Squint (भेगो आँखा)
136,Stroke (स्ट्रोक)
137,Systemic Lupus Erythematosus (SLE) (लुपस)
138,Thalassemia (थैलेसिमिया)
139,Thyroid Disorders (थाइरोइडको रोग)
140,Tonsillitis (टन्सिलाइटिस)
141,Traumatic Eye Injuries (आँखाको चोटपटक)
142,Traumatic Shock (चोटपटकबाट हुने सक)
143,Trigeminal Neuralgia (ट्राइजेमिनल न्युराल्जिया)
144,Tuberculosis (TB) (क्षयरोग)
145,Typhoid (टाइफाइड)
146,Underweight children (कम तौलका बच्चाहरू)
147,Urinary Tract Infection (UTI) (मूत्रमार्ग संक्रमण)
148,Urolithiasis/Kidney Stones (गुराँसको ढुङ्गा)
149,Uveitis (युभेइटिस)
150,Valvular Heart Disease (हृदयको भाल्व रोग)
151,Vertigo (घुम्टो)
152,Viral Fevers (भाइरल ज्वरो)
153,Vitamin deficiencies (भिटामिनको कमी)
154,Wilms' Tumor (विल्म्स ट्युमर)
155,Worms Infestation (कृमि संक्रमण)
